Precio ;Milleage;Precio millones;Km miles;Version;Year;Color ;Transmision ;Direction ;Año
26900000;77.000 km;26,9;77;GT Line;2015;blanco;mecanica;hidraulica;2015
33100000;41.000 km;33,1;41;Authentique;2016;azul;automatica;hidraulica;2016
24300000;46.027 km;24,3;46,027;Expression;2016;gris;mecanica;hidraulica;2016
22000000;90.662 km;22;90,662;Dynamique;2011;negro;mecanica;hidraulica;2011
23500000;98.250 km;23,5;98,25;GT Line;2012;negro;mecanica;hidraulica;2012
19000000;140.000 km;19;140;Authentique;2013;gris;mecanica;hidraulica;2013
26000000;56.000 km;26;56;Authentique;2017;plateado ;mecanica;hidraulica;2017
44000000;12.294 km;44;12,294;RS;2017;blanco;mecanica;hidraulica;2017
21500000;37.000 km;21,5;37;Dynamique;2012;gris;mecanica;hidraulica;2012
39900000;33.000 km;39,9;33;RS;2017;blanco;mecanica;electroasistida ;2017
23800000;44.000 km;23,8;44;Dynamique;2012;negro;automatica;hidraulica;2012
31800000;23.000 km;31,8;23;Night and Day;2018;plateado ;mecanica;hidraulica;2018
30000000;44.000 km;30;44;Dynamique;2016;Rojo;automatica;hidraulica;2016
18400000;79.700 km;18,4;79,7;Expression;2012;plateado ;mecanica;hidraulica;2012
30000000;41.000 km;30;41;Expression;2018;plateado ;mecanica;hidraulica;2018
19500000;75.600 km;19,5;75,6;GT Line;2010;gris;mecanica;hidraulica;2010
18600000;102.000 km;18,6;102;Expression;2011;blanco;mecanica;hidraulica;2011
33500000;20.000 km;33,5;20;Tripadvisor;2018;blanco;mecanica;hidraulica;2018
23400000;50.000 km;23,4;50;Expression;2015;gris;mecanica;hidraulica;2015
18500000;97.730 km;18,5;97,73;Expression;2009;gris;mecanica;hidraulica;2009
21900000;55.000 km;21,9;55;GT Line;2011;negro;mecanica;hidraulica;2011
25900000;33.278 km;25,9;33,278;Dynamique;2015;gris;mecanica;hidraulica;2015
18900000;92.000 km;18,9;92;GT Line;2010;negro;mecanica;hidraulica;2010
27500000;65.000 km;27,5;65;Stepway;2014;gris;mecanica;hidraulica;2014
22500000;83.327 km;22,5;83,327;Expression;2012;gris;mecanica;hidraulica;2012
36000000;31.500 km;36;31,5;Automatique;2018;gris;automatica;hidraulica;2018
24500000;72.000 km;24,5;72;Expression;2015;gris;mecanica;hidraulica;2015
36900000;15.000 km;36,9;15;Dynamique;2018;gris;automatica;electroasistida ;2018
21500000;126.000 km;21,5;126;Expression;2013;gris;mecanica;hidraulica;2013
29900000;37.000 km;29,9;37;Dynamique;2016;blanco;mecanica;hidraulica;2016
33000000;37.826 km;33;37,826;Expression;2016;gris;automatica;hidraulica;2016
37500000;17.588 km;37,5;17,588;Automatique;2018;blanco;automatica;hidraulica;2018
20500000;115.000 km;20,5;115;GT Line;2010;gris;mecanica;hidraulica;2010
18200000;120.000 km;18,2;120;Expression;2009;gris;mecanica;hidraulica;2009
17900000;174.000 km;17,9;174;Expression;2009;azul;mecanica;hidraulica;2009
19500000;87.000 km;19,5;87;Expression;2011;gris;mecanica;hidraulica;2011
25500000;51.000 km;25,5;51;Authentique;2017;plateado ;mecanica;hidraulica;2017
24000000;82.900 km;24;82,9;Expression;2014;gris;mecanica;hidraulica;2014
24000000;83.400 km;24;83,4;Expression;2014;gris;mecanica;hidraulica;2014
29000000;20.000 km;29;20;Dynamique;2016;gris;mecanica;hidraulica;2016
35000000;32.000 km;35;32;Dynamique;2018;plateado ;automatica;hidraulica;2018
32500000;44.000 km;32,5;44;Dynamique;2016;Rojo;automatica;hidraulica;2016
16300000;63.000 km;16,3;63;Dynamique;2011;Rojo;mecanica;hidraulica;2011
33000000;56.000 km;33;56;Dynamique;2018;plateado ;mecanica;hidraulica;2018
26000000;85.000 km;26;85;Authentique;2017;Rojo;mecanica;hidraulica;2017
26000000;47.000 km;26;47;Dynamique;2015;plateado ;mecanica;hidraulica;2015
22500000;132.000km;22,5;132;Expression;2012;plateado ;mecanica;hidraulica;2012
